Accounting Code for Service Tax,Service Tax Code,Interest Tax Code,Penalties Code
"Accommodation In Hotels, Inn, Guest House, Club Or Camp Site Etc. Service",1070,1071,1479
Advertising Agency Services,0013,0016,1299
Air Travel Agent Services,0032,0033,1304
Airport Services By Airport Authority,0258,0259,1391
Architect Services,0072,0073,1314
Asset Management Including Portfolio Management And Fund Management,0418,0419,1459
"Atm Operations, Maintenance Or Management Service",0346,0347,1441
Auction Service,0370,0371,1448
Banking And Other Financial Services/Foreign Exchange Broker Service,0173,0174,1339
Beauty Parlours /Beauty Treatment,0209,0210,1361
Broadcasting Service,0165,0166,1336
Business Auxiliary Service,0225,0226,1371
Business Exhibition Service,0254,0255,1390
Business Support Service,0366,0367,1447
Cable Operators,0217,0218,1366
Cargo Handling Service,0189,0190,1348
Chartered Accountant Services,0092,0093,1319
Cleaning Services,0318,0319,1434
Clearing And Forwarding Agent Services,0045,0046,1306
Club Or Association Service,0322,0323,1435
Commercial Training Or Coaching,0229,0230,1374
Company Secretary Service,0100,0101,1321
Construction Of Residential Complex Service,0334,0335,1438
"Construction Services Other Than Residential Complex, Including Commercial/Industrial Buildings Or Civil Structures",0290,0291,1399
Consulting Engineer Services,0057,0058,1310
Convention Service,0133,0134,1328
Copyright Service Transfer Temporarily/ Permit Use Or Enjoyment,0613,0614,1476
Cosmetic And Plastic Surgery Service,0460,0463,1467
Cost Accountant Service,0096,0097,1320
Courier Agency Service,0014,0018,1300
"Credit Card, Debit Card, Charge Card Or Other Payment Card Related Services",0394,0395,1453
Credit Rating Agency Service,0088,0089,1318
Custom House Agent Service,0026,0027,1302
Design Service Other Than Interior Decoration And Fashion Designing,0422,0423,1460
"Development And Supply Of Content For Use In Telecom Services, Advertising Agency, Etc.",0414,0415,1458
"Dredging Of Rivers, Ports Harbours, Backwaters, Estuaries, Etc.",0310,0311,1432
Dry Cleaning Service,0221,0222,1369
Electricity Exchange Service,0610,0611,1475
"Erection, Commissioning And Installation Service",0233,0234,1376
Event Management,0197,0198,1353
Fashion Design,0213,0214,1363
Facsimile Services Fax,0149,0150,1332
Franchise Service,0237,0238,1384
General Insurance Service,0005,0006,1297
Goods Transport Operators,0067,0068,1313
Health Club And Fitness Centre Service,0205,0206,1358
"Health Services By A Clinical Establishment, Health Check-Up/Diagnosis , Etc.",0598,0599,1471
Information Technology Software Service,0452,0450,1461
Insurance Auxiliary Service - General Insurance,0169,0170,1338
Intellectual Property Rights Service Other Than Copyright,0278,0279,1396
Interior Decoration/ Designer Services,076,0077,1315
Internet Cafe,0241,0242,1386
Internet Telecommunication Service,0382,0383,1451
Legal Consultancy Service,0480,0483,1469
Leased Circuits,0137,0138,1329
Life Insurance Service/Insurance Auxillary-Life Insurance,0185,0186,1346
Mailing List Compilation And Mailing Service,0330,0331,1437
Maintenance Of Medical Records Service,0601,0602,1472
Maintenance Or Repair Service,0245,0246,1388
Management Or Business Consultant Service,0116,0117,1325
Mandap Keeper Service,0035,0036,1305
Manpower Recruitment/Supply Agency Service,0060,0061,1311
Market Research Agency Service,0112,0113,1324
"Mining Of Mineral, Oil Or Gas Service",0402,0403,1455
Online Information And Database Access Service And/ Or Retrieval Service Through Computer Network,0153,0154,1333
Opinion Poll Agency Service,0274,0275,1395
Outdoor Catering Service,0051,0052,1308
Packaging Service,0326,0327,1436
Pandal Or Shamiana Service,0054,0055,1309
Pager Services (Radio Paging),0015,0020,1301
Permitting Commercial Use Or Exploitation Of Events Service,0607,0608,1474
Photography Service,0129,0130,1327
Port Service (Major Ports/Minor Ports),0177,0178,1341
Programme Producer Service,0286,0287,1398
Promotion Or Marketing Of Brand Of Goods/Services/Events Service,0604,0605,1473
